text_id	text	task_1	task_2	task_3
hasoc_en_68	dirtyjohn bravo holy crap the guy was in losgatos and thats in my neck of the woods its siliconvalley sanjose scary murderer	NOT	NONE	NONE
hasoc_en_69	shameonicc indian fans unleash their wrath upon icc after another world cup washout	NOT	NONE	NONE
hasoc_en_70	throwback to the time when pak dedicated an entire match to its army and the icc didnt even flinch. india must not be pressured by icc and change dhoni gloves. dont let pak win. boycott the wc india! dhonikeeptheglove dhonikeepstheglove dhonikesaathdesh dhonikeepthegloves	NOT	NONE	NONE
hasoc_en_71	i want to know too! thanks for asking these questions ! fucktrump bebest orangefoolius.	NOT	NONE	NONE
hasoc_en_72	we dont need a special law. we need proper unbiased enforcement of existing laws. once they are applied properly and people jailed there will be deterrence. we doctors must win back the trust of the people. this will ensure political support for us. doctorsfightback	NOT	NONE	NONE
hasoc_en_73	top 50 hashtags mentioning for 20190615 0700 to 20190615 1500 gmt0 maga johnmccainday trump2020 derangeddonald trump trumpisatraitor impeachtrumpnow wwg1wga rt impeachtrump	NOT	NONE	NONE
hasoc_en_74	dhonikeepstheglove why only dhoni all the indian audience should also wear the jersey and banner with balidan insignia. tv channels ,news papers and wherever possible should include this insignia.	NOT	NONE	NONE
hasoc_en_75	except... trumps hand has already been caught in the cookie jar trying to get dirt on an opponent from russia. remember... trump tower? trumpisatraitor impeachmenthearingsnow	NOT	NONE	NONE
hasoc_en_76	crabs live! covering the lies of the sleazy, cheating gop! gt viva la resistance! trump fucktrump libcrib	NOT	NONE	NONE
hasoc_en_77	livpure glo 7l rouv mineralizer water purifier rs.9499 mrp15990 more doctorsfightback savebengal amazon flipkart deals dealoftheday amazingdeals offers discount jaishreeram modiforall	NOT	NONE	NONE
hasoc_en_78	the most awaited variant from oneplus oneplus7pro in almond. buy now on with an emi starting at just 2,495 oneplus7ishere oneplus7series oneplus7 worldblooddonorday shameonicc fridaymotivation nbafinals fridayfeeling wethenorth	NOT	NONE	NONE
hasoc_en_79	ted bundys final meal. he didnt even pick at it. execution murderer killer tedbundy breakfast lethalinjection	NOT	NONE	NONE
hasoc_en_80	,, dear sir please look at this video we all met earlier homeminster for tgsfraud and dreamzgkfraud like you he also promised.imafraud	NOT	NONE	NONE
hasoc_en_81	dear this is world cup not a club cricket so please check the umpiring errors instead of gloves. dhonikeepstheglove dhonikeeptheglove dhonikesaathdesh	NOT	NONE	NONE
hasoc_en_82	indvsnz toss be like....shameonicc	NOT	NONE	NONE
hasoc_en_83	instead of focusing on game, why have a unnecessary controversy. is wearing a symbol only way to show respect. rather win the worldcup and dedicate it to our forces. it will give them more high n respect worldover. its a matter of priority n focus.dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_84	boris johnson chaos stability it really is as simple as that! toryleadership borisjohnsonshouldnotbepm	NOT	NONE	NONE
hasoc_en_85	dhonikeepstheglove whats wrong with ?? dhoni is first a soldier then a cricketer.....	NOT	NONE	NONE
hasoc_en_86	doctorsfightback presidentsrule is only option tmc goons r not in control of	NOT	NONE	NONE
hasoc_en_87	why is it okay? dhonikeepstheglove dhonikesaathdesh	NOT	NONE	NONE
hasoc_en_88	you supportdhoni msdhoni dhonikesaathdesh dhoni ??? bcci cwc19 dhonikeepthegloves dhonikeepstheglove dhonikeepbalidaanbadgeglove balidanbadge balidan bbccricket cricketworldcup2019 worldcup2019 retweet for msdhonigloves like	NOT	NONE	NONE
hasoc_en_89	did my part. murderer	NOT	NONE	NONE
hasoc_en_90	hypocrisy of the indian elite savebengal savethedoctors india mamatalosingcontrol mamatabanerjee kolkata westbengal bengaldoctorsstrike democracy doctorsfightback doctorsstrike doctorsprotest	NOT	NONE	NONE
hasoc_en_91	5000 doctors and non medicos walked from nrs to cnmc for our cause. history has been created as this is probably one of the biggest movement that has been carried out by the doctors. doctorsfightback	NOT	NONE	NONE
hasoc_en_92	destroy our country? more like defending our country against a treasonous traitor in the white house! trumpisatraitor trumptaxes trumpsaninternationaldisgrace trumpmustresign	HOF	OFFN	TIN
hasoc_en_93	gabor nails it again. a voice of reason. borisjohnsonshouldnotbepm	NOT	NONE	NONE
hasoc_en_94	few minutes left for almond oneplus7pro on available with sbi cash back of 2000 and up to 6 months no cost emi quick hands on to buy it oneplus7 oneplus7ishere oneplus7pro oneplus wethenorth shameonicc fridaymotivation fridayfeeling nbafinals	NOT	NONE	NONE
hasoc_en_95	aoc asks the fbi why they give white supremacists a pass resist resisttrump fucktrump	NOT	NONE	NONE
hasoc_en_96	what it is that we will do anything to get trump the hell out there except cheat like trump did!!!! fucktrump bluewave2020	HOF	HATE	TIN
hasoc_en_97	boris johnson will lie about anything if it gives him an advantage. in the local elections he was forced to delete a tweet claiming to have just voted...but, there were no elections in his area! this trumplike compulsive liar just cant stop himself... borisjohnsonshouldnotbepm	NOT	NONE	NONE
hasoc_en_98	ian bagg part 4 he once told a feature act who asked to sell his album after the show, nope, they came for me, not you fact douchebag 50yearoldman 47viewedpodcast	NOT	NONE	NONE
hasoc_en_99	what a nasty lot toryleadershipcontest contenders have exposed themselves to be! toryleadershipcontest borisjohnsonshouldnotbepm	NOT	NONE	NONE
hasoc_en_100	marlon craft gang shit official music video via fucktrump copsarethegang	NOT	NONE	NONE
hasoc_en_101	if we want to unite our country we should commit that anyone who us scared to face a bit of public scrutiny shouldnt be allowed to run for prime minister... borisjohnsonshouldnotbepm borisjohnson toryleadership toryleadershipdebate toriesout	NOT	NONE	NONE
hasoc_en_102	analysis sarah sanders legacy the death of the white house press briefing resist resisttrump fucktrump	NOT	NONE	NONE
hasoc_en_103	so it looks like the lying incompetent homophobic racist borisjohnson will be the next tory leader...well at least well get a generalelection eh boris? borisjohnsonshouldnotbepm torydrugoff toryleadershipcontest	HOF	OFFN	TIN
hasoc_en_104	its not a windmill. its not a fan. its a wind turbine and its good for the environment. fucktrump	NOT	NONE	NONE
hasoc_en_105	this is applaudable move by doctors. they save our lives. we must support them against the voilence. savethedoctors doctorsfightback	NOT	NONE	NONE
hasoc_en_106	this will not work we are not scapegoats.. centre should intervene. . doctorsfightback	NOT	NONE	NONE
hasoc_en_107	mitch mcconnell, too, welcomes russian interference resist resisttrump fucktrump	NOT	NONE	NONE
hasoc_en_108	if a doctor needs to be assualted or killed for every patient who dies during treatment, then here is a list of people who also deserve the same fate. savethedoctors savebengal savethesaviour savedoctors doctorsfightback doctorsstrike doctorsprotest doctor doctorstrike	NOT	NONE	NONE
hasoc_en_109	says the guy who killed the tree that macron gave u for friendship n peace!! sad douchebag	NOT	NONE	NONE
hasoc_en_110	...youre finally going to admit to something bad you did in the past? juice thejuiceisloose oj simpson golf course killer are you onthehunt for the real killers? murder redrum murderer? nicolebrownsimpson rongoldman admit what you did comeclean tell the truth	NOT	NONE	NONE
hasoc_en_111	borisjohnsonshouldnotbepm he is already ducking and diving the 5 friendly candidates...god help us when it comes to to the 27 european countries!!	NOT	NONE	NONE
hasoc_en_112	1.death of dr payal tadvi 2.arresting of dr kafeel khan 3.72 children die due to insufficient oxygen! where were these doctors? doctorsstrike doctorsfightback doctorsprotest savethedoctors	NOT	NONE	NONE
hasoc_en_113	vinay tewari, consulting editor global sporting events across the world work on volunteers amp im not too sure if england is so badly placed that they cant hire 100 people as volunteers to push the cover to the ground shameonicc	NOT	NONE	NONE
hasoc_en_114	indianpsychiatricsociety stands by indianmedicalassociation. condemns violenceagainstdoctors doctorsfightback solidaritywithnrsmch stopviolenceagainstdoctors	NOT	NONE	NONE
hasoc_en_115	i urge every indian to send mail to icc at enquirycricket.com with this image asking them why he cant keep the logo on that glove ? dhonikeeptheglove dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_116	japan disagrees...they saw something flying in and then hitting the boat. trumpisatraitor	NOT	NONE	NONE
hasoc_en_117	in india the severity of punishment for holding just bitcoin is equivalent the crime done by a rapist or a murderer or money launderer or extortionist. really amazed to see where we are heading.	NOT	NONE	NONE
hasoc_en_118	2uat is doing they have objection on dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_119	do your job senators mbs murderer	NOT	NONE	NONE
hasoc_en_120	trumps constant attacks on freepress are merciless attacks on democracys foundation fucktrump trumpfascism impeachthemf stopfascism drumpf resisttrump fascisttrump savedemocracy cult45 notmypresident stophate dumptrump putinspuppet fbr	NOT	NONE	NONE
hasoc_en_121	is there anything our socalled president does other than eating hamberders in bed and watching fauxnews while tweeting? locktrumpup impeachmentinquirynow impeachtrump impeachbarr impeachmnuchin trumpisatraitor	NOT	NONE	NONE
hasoc_en_122	meanwhile ....dhonis reply to icc ...... dhonikeeptheglove dhonikeepstheglove dhonikesaathdesh dhonigloves dhoni	NOT	NONE	NONE
hasoc_en_123	अभ भ समय बच हआ ह shift the icccricketworldcup2019 in india. we need rain. shameonicc	NOT	NONE	NONE
hasoc_en_124	the whole dhonis gloves controversy during cwc19, is outright immature amp mindless. id understand if there was anyone else youd question the integrity amp intention of, but not this guy. he is as pure amp genuine an ambassador of sport, as youll ever get. dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_125	losing 1, 13 or 100 is the same level of disappointment, so is winning 1 or 100 its the same level of achievement and should be rewarded with any level of celebration desired.. its hard work rewarded, not charity! douchebag	NOT	NONE	NONE
hasoc_en_126	proactive? directive from above !! .. it is shameful interpretation from a journalist . every movement has a turning point ... it is now or never doctorsfightback stopviolenceagainstdoctors	NOT	NONE	NONE
hasoc_en_127	to bcci sorry we cant allow ms dhoni to keep the army gloves. reply salaam thok, sar jhuka, tu dum daba, chal rasta naap le.. balidanbadge balidaninsignia msdhoni indiawithdhoni dhonikeepstheglove dhonikesathdesh boycottworldcup	NOT	NONE	NONE
hasoc_en_128	etsy shop benedict donald so called president is a traitor shortsleeve unisex tshirt clothing shirt streetwear trump impeach treason traitor fucktrump impeachtrump	NOT	NONE	NONE
hasoc_en_129	trump downplays the time he said hed take help from foreign actors offering dirt on 2020 dems resist resisttrump fucktrump	NOT	NONE	NONE
hasoc_en_130	hes had the worst numbers of any president ever. theres not much lower to go. trumpisatraitor	HOF	OFFN	TIN
hasoc_en_131	pay no attention to the draft dodging charlatan behind the curtain! lol! fucktrump dumbdonnythedraftdodgingdotard draftdodgerdonny	NOT	NONE	NONE
hasoc_en_132	shameonicc englishshameonicc indian daily soaps bahr aapki thoothoo ho rhi h znab	NOT	NONE	NONE
hasoc_en_133	has someone really just sent me a snap whilst doing 90mph in a lorry??? dickhead	NOT	NONE	NONE
hasoc_en_134	which hurts you the most? duel citizenship or not having a sanctuary city to hide in? douchebag	NOT	NONE	NONE
hasoc_en_135	fck the us tho and fucktrump	HOF	PRFN	UNT
hasoc_en_136	watch our short, dark comedy, time to kill. movie film comedy darkcomedy raunchy funny laugh laughoutloud hitman killer kill murder phone cellphone action thriller gun silencer lube condom tense tension dog boxer cutedogs murderer	NOT	NONE	NONE
hasoc_en_137	i just got back on twitter a few weeks ago! i dont have many followers so feel free to add me! fucktrump	NOT	NONE	NONE
hasoc_en_138	50 approval to resign!!! fucktrump fuckthatputo	NOT	NONE	NONE
hasoc_en_139	trumpisatraitor call your member of congress	NOT	NONE	NONE
hasoc_en_140	doctorsfightback we have no political colour. this is just us doctors, say protesting doctors at nrs hospital in kolkata refuting west bengal cm mamata banerjee, even as doctors from across india stand with them	NOT	NONE	NONE
hasoc_en_141	getting even ? lock up the cutlery murderer	NOT	NONE	NONE
hasoc_en_142	wow, fakedonaldtrump discussing venezuela and actually stating that he is always right. since liertrump is never right, that is a bold faced lie statement. when will the nightmare end? when will congress impeachtrump? idiottrump	NOT	NONE	NONE
hasoc_en_143	oh emma , its not a competition also you already lost fucktrump	NOT	NONE	NONE
hasoc_en_144	indvnz cricket fans are venting their frustration with shameonicc tweets and wondering why the ground staff could not cover the entire ground when the rain warning was given in advance. take a look at these tweets	NOT	NONE	NONE
hasoc_en_145	this is one of the worst times to be american, because you are causing serious damage to our country. i sure dont wish you a happy fathers day, because everyone knows youre a terrible father. derangeddonald trumpisatraitor trumpisacriminal	HOF	OFFN	TIN
hasoc_en_146	trump doesnt know what the hell he is talking about!!!! he cant help but spew bllshit!!! hes a disgrace amp 2020 can not get here fast enough! fuckfacevonclownstick fucktrump locktrumpup impeachthemf impeachthemftraitor	HOF	PRFN	TIN
hasoc_en_147	trumpisatraitor theresistance dont get me wrong theres nothing funny about what trump said. on the other hand this is really amusing.	NOT	NONE	NONE
hasoc_en_148	43 percent of the hate speech facebook initially removed was restored within 90 days, and 100 of these restored posts were islamophobic in nature.facebook in india is drowning in antimuslim hate speech islamophobia via	NOT	NONE	NONE
hasoc_en_149	oh he definitely wouldve sold out everybody. trumpisatraitor trumpmustresign	NOT	NONE	NONE
hasoc_en_150	fucktrump 41million settlement in central park five case gets final approval	NOT	NONE	NONE
hasoc_en_151	you are. false journalists with agendas on none existant fabrications. douchebag	NOT	NONE	NONE
hasoc_en_152	goddamit fucktrump	NOT	NONE	NONE
hasoc_en_153	amrinder singh malhi, president, rda , aiims all resident doctors are back to work but we will continue with symbolic protest by wearing black badges, bandagesamphelmets. if condition worsens we will go on indefinite strike from june 17. doctorsfightback	NOT	NONE	NONE
hasoc_en_154	only in america can a murderer come on, he did it and convicted criminal immediately get half million followers. if youre following, youre condoning his actions and validating him. ojdidit conman murderer	NOT	NONE	NONE
hasoc_en_155	no lawmakers with any guts? trumpisatraitor	NOT	NONE	NONE
hasoc_en_156	ill type slowly so you can understand. the gop originated the request for the steele dossier before they made trump their nominee. and steele is a brit ally, not russian adversary. clinton is not a traitor but is. trumpisatraitor gopcomplicittraitors	NOT	NONE	NONE
hasoc_en_157	it could be the tom amp rory show just got to get rid of the elephant in the room .. borisjohnsonshouldnotbepm corbynmustgo bollockstobrexit	NOT	NONE	NONE
hasoc_en_158	dukarr mullahs drying for business deals with bloody beggars allah ke naam de de, chalo tamatar toh dedo !! indvpak cwc19 modijisemilnahai fridaymotivation modisurgicalsnub modiglobalpower imrankhan cwc11 imranhataomulkbachao	HOF	PRFN	UNT
hasoc_en_159	i love the selective memory amp projecting from the right when they get owned happyjohnmccainday2019 cadetbonespurs trumpisatraitor npd fridaythoughts	NOT	NONE	NONE
hasoc_en_160	you know what else is crazy is when a murderer has to play the race card to get off amp even though everyone knows he did it, he claims hes going to find the real killers. murderer	NOT	NONE	NONE
hasoc_en_161	shameonicc now plz stop it...	NOT	NONE	NONE
hasoc_en_162	i appeal to all doctors in westbengal and throughout country, to return to work, as only poor people suffering, i assure i shall fight against bengal govt and central govt for better security 2doctors! doctorsfightback savethedoctors indian medical association prannoyroy	NOT	NONE	NONE
hasoc_en_163	if all remaining get washed nz 12 ind 11 eng 10 aus 10 wi 9 sl 9 pak 9 bang 8 sa 6 afg 6 semi final aus vs nz if rain continues, nz eng vs ind if rain continues, ind final ind vs nz if rain continues, nz india will win jointly . shameonicc	NOT	NONE	NONE
hasoc_en_164	what a honorable noble human being huh . douchebag	NOT	NONE	NONE
hasoc_en_165	a beautiful jail cell with a beautiful notepad to write beautiful love letters to putin, lil rocket man, xi, and mbs..oh yeah and a big beautiful painted mural of john mccain and robert mueller on his cell walls! fucktrump	NOT	NONE	NONE
hasoc_en_166	russian elected twit is putinspuppet trumpisatraitor	NOT	NONE	NONE
hasoc_en_167	oak tree given to idiottrump by macron dies under mysterious circumstances	NOT	NONE	NONE
hasoc_en_168	hump day 9 fucktrump votebluenomatterwho	NOT	NONE	NONE
hasoc_en_169	fucktrump and his birthday	NOT	NONE	NONE
hasoc_en_170	think about that guy, who had planned a trip to uk from india just to watch indvsnz , told all his friends about it, spent 3 lakh rupees on everything just to experience the same old rain. shameonicc	NOT	NONE	NONE
hasoc_en_171	ex army men amp tory mps rory stewart amp tobias ellewood shudder at the thought of boris as pm in the year of the 75th anniversary of dday. i wonder why! whereswally boris borisjohnsonshouldnotbepm cowardsfollowcowards absentfathers	NOT	NONE	NONE
hasoc_en_172	its pretty pathetic to have a social media acct dedicated to hating someone. ironic those people chanting things like lovetrumpshate loveislove are the same ones who say fucktrump. hypocrites.	NOT	NONE	NONE
hasoc_en_173	the one who slays aussies indvaus cwc2019 cwc19 dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_174	murderer, think of its family!!!!	NOT	NONE	NONE
hasoc_en_175	happy john mccain day cadet bonespurs! johnmccainday trumpisatraitor	NOT	NONE	NONE
hasoc_en_176	has she gone looking for any remaining fragments of her soul? trump trumpisatraitor	NOT	NONE	NONE
hasoc_en_177	followed ms. goldman yesterday and blocked the murderer yesterday. ive followed you since that bad boy sued you. please follow me!	NOT	NONE	NONE
hasoc_en_178	happy johnmccainday, ! trumpthedraftdodger mccaintrumpsbday johnmccainamericanhero trumpisatraitor johnmccainday	NOT	NONE	NONE
hasoc_en_179	1 stop fashion women kurta rs.199 mrp1107 more 1 stop fashion offers doctorsfightback savebengal amazon flipkart deals dealoftheday amazingdeals offers discount jaishreeram modiforall	NOT	NONE	NONE
hasoc_en_180	kamala harriss plan to provide dreamers a pathway to citizenship, explained resist resisttrump fucktrump	NOT	NONE	NONE
hasoc_en_181	the best way to show your commitment to real criminal justice reform would be to get rid of the criminal in the white house. now! trumpisatraitor dosomethinggop	NOT	NONE	NONE
hasoc_en_182	fbi agents struck and paige were fired because they exercised freedom of speech speech trumpisatraitor 45isacriminal trumpcrimefamily mcconnellmustgo mcconnellchaocorruption	NOT	NONE	NONE
hasoc_en_183	correct. now is not the time for moderation. you cannot be moderate with your head inside the tigers mouth. fucktrump	NOT	NONE	NONE
hasoc_en_184	like seriously!!! this is what i literally tell my friends everyday! health water hydrated healthy worldblooddonorday nbafinals fridaymotivation fridayfeeling shameonicc wethenorth instagramdown india meme sarcasmonly	NOT	NONE	NONE
hasoc_en_185	stopboris borisjohnsonshouldnotbepm borisdoesnotrepresentme c4debate what an inspirational woman you are francesca...	NOT	NONE	NONE
hasoc_en_186	a billion cricket fans waited four years to watch how it rains in england and how the cricket grounds are becoming swimming pools shameonicc cwc19	NOT	NONE	NONE
hasoc_en_187	chernobyl shameonicc akimov the turbine is going too slow for the test to deliver any valid results, amp if we add mor.... dyatlov	NOT	NONE	NONE
